INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:Gateway IP: 192.168.0.1
INFO:root:Interface: enp5s0
INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.234
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.235
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.236
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.237
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.238
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.239
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.240
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.241
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.242
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.243
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.244
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.245
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.246
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.247
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.248
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.249
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.250
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.251
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.252
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.253
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.254
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.255
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.0
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.2
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.3
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.4
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.5
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.6
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.9
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.10
